TeamName,Conference,Wins,Losses,WinPct,Season,MadePlayoffs
Warriors,West,57,25,0.695,2018-19,1
Bucks,East,60,22,0.732,2018-19,1
Nuggets,West,54,28,0.659,2018-19,1
Raptors,East,58,24,0.707,2018-19,1
Trail Blazers,West,53,29,0.646,2018-19,1
76ers,East,51,31,0.622,2018-19,1
Rockets,West,53,29,0.646,2018-19,1
Celtics,East,49,33,0.598,2018-19,1
Pacers,East,48,34,0.585,2018-19,1
Jazz,West,50,32,0.61,2018-19,1
Nets,East,42,40,0.512,2018-19,1
Thunder,West,49,33,0.598,2018-19,1
Spurs,West,48,34,0.585,2018-19,1
Magic,East,42,40,0.512,2018-19,1
Pistons,East,41,41,0.5,2018-19,1
Clippers,West,48,34,0.585,2018-19,1
Hornets,East,39,43,0.476,2018-19,0
Kings,West,39,43,0.476,2018-19,0
Heat,East,39,43,0.476,2018-19,0
Lakers,West,37,45,0.451,2018-19,0
Wizards,East,32,50,0.39,2018-19,0
Timberwolves,West,36,46,0.439,2018-19,0
Hawks,East,29,53,0.354,2018-19,0
Grizzlies,West,33,49,0.402,2018-19,0
Pelicans,West,33,49,0.402,2018-19,0
Bulls,East,22,60,0.268,2018-19,0
Mavericks,West,33,49,0.402,2018-19,0
Cavaliers,East,19,63,0.232,2018-19,0
Suns,West,19,63,0.232,2018-19,0
Knicks,East,17,65,0.207,2018-19,0
