TeamName,Conference,Wins,Losses,WinPct,Season,MadePlayoffs
Pacers,East,56,26,0.683,2013-14,1
Spurs,West,62,20,0.756,2013-14,1
Heat,East,54,28,0.659,2013-14,1
Thunder,West,59,23,0.72,2013-14,1
Clippers,West,57,25,0.695,2013-14,1
Raptors,East,48,34,0.585,2013-14,1
Bulls,East,48,34,0.585,2013-14,1
Rockets,West,54,28,0.659,2013-14,1
Trail Blazers,West,54,28,0.659,2013-14,1
Wizards,East,44,38,0.537,2013-14,1
Warriors,West,51,31,0.622,2013-14,1
Nets,East,44,38,0.537,2013-14,1
Grizzlies,West,50,32,0.61,2013-14,1
Bobcats,East,43,39,0.524,2013-14,1
Hawks,East,38,44,0.463,2013-14,1
Mavericks,West,49,33,0.598,2013-14,1
Knicks,East,37,45,0.451,2013-14,0
Suns,West,48,34,0.585,2013-14,0
Cavaliers,East,33,49,0.402,2013-14,0
Timberwolves,West,40,42,0.488,2013-14,0
Nuggets,West,36,46,0.439,2013-14,0
Pistons,East,29,53,0.354,2013-14,0
Celtics,East,25,57,0.305,2013-14,0
Pelicans,West,34,48,0.415,2013-14,0
Magic,East,23,59,0.28,2013-14,0
Kings,West,28,54,0.341,2013-14,0
Lakers,West,27,55,0.329,2013-14,0
76ers,East,19,63,0.232,2013-14,0
Bucks,East,15,67,0.183,2013-14,0
Jazz,West,25,57,0.305,2013-14,0
