TeamName,Conference,Wins,Losses,WinPct,Season,MadePlayoffs
Bucks,East,58,24,0.707,2022-23,1
Nuggets,West,53,29,0.646,2022-23,1
Celtics,East,57,25,0.695,2022-23,1
Grizzlies,West,51,31,0.622,2022-23,1
76ers,East,54,28,0.659,2022-23,1
Kings,West,48,34,0.585,2022-23,1
Suns,West,45,37,0.549,2022-23,1
Cavaliers,East,51,31,0.622,2022-23,1
Clippers,West,44,38,0.537,2022-23,1
Knicks,East,47,35,0.573,2022-23,1
Warriors,West,44,38,0.537,2022-23,1
Nets,East,45,37,0.549,2022-23,1
Heat,East,44,38,0.537,2022-23,1
Lakers,West,43,39,0.524,2022-23,1
Hawks,East,41,41,0.5,2022-23,1
Timberwolves,West,42,40,0.512,2022-23,1
Pelicans,West,42,40,0.512,2022-23,0
Raptors,East,41,41,0.5,2022-23,0
Bulls,East,40,42,0.488,2022-23,0
Thunder,West,40,42,0.488,2022-23,0
Pacers,East,35,47,0.427,2022-23,0
Mavericks,West,38,44,0.463,2022-23,0
Jazz,West,37,45,0.451,2022-23,0
Wizards,East,35,47,0.427,2022-23,0
Trail Blazers,West,33,49,0.402,2022-23,0
Magic,East,34,48,0.415,2022-23,0
Hornets,East,27,55,0.329,2022-23,0
Rockets,West,22,60,0.268,2022-23,0
Spurs,West,22,60,0.268,2022-23,0
Pistons,East,17,65,0.207,2022-23,0
