TeamName,Conference,Wins,Losses,WinPct,Season,MadePlayoffs
Bulls,East,62,20,0.756,2010-11,1
Spurs,West,61,21,0.744,2010-11,1
Lakers,West,57,25,0.695,2010-11,1
Heat,East,58,24,0.707,2010-11,1
Celtics,East,56,26,0.683,2010-11,1
Mavericks,West,57,25,0.695,2010-11,1
Magic,East,52,30,0.634,2010-11,1
Thunder,West,55,27,0.671,2010-11,1
Hawks,East,44,38,0.537,2010-11,1
Nuggets,West,50,32,0.61,2010-11,1
Knicks,East,42,40,0.512,2010-11,1
Trail Blazers,West,48,34,0.585,2010-11,1
Hornets,West,46,36,0.561,2010-11,1
76ers,East,41,41,0.5,2010-11,1
Pacers,East,37,45,0.451,2010-11,1
Grizzlies,West,46,36,0.561,2010-11,1
Rockets,West,43,39,0.524,2010-11,0
Bucks,East,35,47,0.427,2010-11,0
Suns,West,40,42,0.488,2010-11,0
Bobcats,East,34,48,0.415,2010-11,0
Jazz,West,39,43,0.476,2010-11,0
Pistons,East,30,52,0.366,2010-11,0
Warriors,West,36,46,0.439,2010-11,0
Nets,East,24,58,0.293,2010-11,0
Clippers,West,32,50,0.39,2010-11,0
Wizards,East,23,59,0.28,2010-11,0
Kings,West,24,58,0.293,2010-11,0
Raptors,East,22,60,0.268,2010-11,0
Cavaliers,East,19,63,0.232,2010-11,0
Timberwolves,West,17,65,0.207,2010-11,0
