TeamName,Conference,Wins,Losses,WinPct,Season,MadePlayoffs
Thunder,West,57,25,0.695,2023-24,1
Celtics,East,64,18,0.78,2023-24,1
Nuggets,West,57,25,0.695,2023-24,1
Knicks,East,50,32,0.61,2023-24,1
Timberwolves,West,56,26,0.683,2023-24,1
Bucks,East,49,33,0.598,2023-24,1
Cavaliers,East,48,34,0.585,2023-24,1
Clippers,West,51,31,0.622,2023-24,1
Magic,East,47,35,0.573,2023-24,1
Mavericks,West,50,32,0.61,2023-24,1
Suns,West,49,33,0.598,2023-24,1
Pacers,East,47,35,0.573,2023-24,1
Pelicans,West,49,33,0.598,2023-24,1
76ers,East,47,35,0.573,2023-24,1
Lakers,West,47,35,0.573,2023-24,1
Heat,East,46,36,0.561,2023-24,1
Bulls,East,39,43,0.476,2023-24,0
Kings,West,46,36,0.561,2023-24,0
Hawks,East,36,46,0.439,2023-24,0
Warriors,West,46,36,0.561,2023-24,0
Nets,East,32,50,0.39,2023-24,0
Rockets,West,41,41,0.5,2023-24,0
Raptors,East,25,57,0.305,2023-24,0
Jazz,West,31,51,0.378,2023-24,0
Hornets,East,21,61,0.256,2023-24,0
Grizzlies,West,27,55,0.329,2023-24,0
Spurs,West,22,60,0.268,2023-24,0
Wizards,East,15,67,0.183,2023-24,0
Pistons,East,14,68,0.171,2023-24,0
Trail Blazers,West,21,61,0.256,2023-24,0
