TeamName,Conference,Wins,Losses,WinPct,Season,MadePlayoffs
Warriors,West,67,15,0.817,2016-17,1
Celtics,East,53,29,0.646,2016-17,1
Spurs,West,61,21,0.744,2016-17,1
Cavaliers,East,51,31,0.622,2016-17,1
Raptors,East,51,31,0.622,2016-17,1
Rockets,West,55,27,0.671,2016-17,1
Clippers,West,51,31,0.622,2016-17,1
Wizards,East,49,33,0.598,2016-17,1
Hawks,East,43,39,0.524,2016-17,1
Jazz,West,51,31,0.622,2016-17,1
Thunder,West,47,35,0.573,2016-17,1
Bucks,East,42,40,0.512,2016-17,1
Pacers,East,42,40,0.512,2016-17,1
Grizzlies,West,43,39,0.524,2016-17,1
Trail Blazers,West,41,41,0.5,2016-17,1
Bulls,East,41,41,0.5,2016-17,1
Nuggets,West,40,42,0.488,2016-17,0
Heat,East,41,41,0.5,2016-17,0
Pelicans,West,34,48,0.415,2016-17,0
Pistons,East,37,45,0.451,2016-17,0
Hornets,East,36,46,0.439,2016-17,0
Mavericks,West,33,49,0.402,2016-17,0
Kings,West,32,50,0.39,2016-17,0
Knicks,East,31,51,0.378,2016-17,0
Magic,East,29,53,0.354,2016-17,0
Timberwolves,West,31,51,0.378,2016-17,0
76ers,East,28,54,0.341,2016-17,0
Lakers,West,26,56,0.317,2016-17,0
Suns,West,24,58,0.293,2016-17,0
Nets,East,20,62,0.244,2016-17,0
