TeamName,Conference,Wins,Losses,WinPct,Season,MadePlayoffs
Lakers,West,52,19,0.732,2019-20,1
Bucks,East,56,17,0.767,2019-20,1
Raptors,East,53,19,0.736,2019-20,1
Clippers,West,49,23,0.681,2019-20,1
Celtics,East,48,24,0.667,2019-20,1
Nuggets,West,46,27,0.63,2019-20,1
Pacers,East,45,28,0.616,2019-20,1
Rockets,West,44,28,0.611,2019-20,1
Heat,East,44,29,0.603,2019-20,1
Thunder,West,44,28,0.611,2019-20,1
76ers,East,43,30,0.589,2019-20,1
Jazz,West,44,28,0.611,2019-20,1
Nets,East,35,37,0.486,2019-20,1
Mavericks,West,43,32,0.573,2019-20,1
Trail Blazers,West,35,39,0.473,2019-20,1
Magic,East,33,40,0.452,2019-20,1
Wizards,East,25,47,0.347,2019-20,0
Grizzlies,West,34,39,0.466,2019-20,0
Hornets,East,23,42,0.354,2019-20,0
Suns,West,34,39,0.466,2019-20,0
Bulls,East,22,43,0.338,2019-20,0
Spurs,West,32,39,0.451,2019-20,0
Kings,West,31,41,0.431,2019-20,0
Knicks,East,21,45,0.318,2019-20,0
Pistons,East,20,46,0.303,2019-20,0
Pelicans,West,30,42,0.417,2019-20,0
Timberwolves,West,19,45,0.297,2019-20,0
Hawks,East,20,47,0.299,2019-20,0
Cavaliers,East,19,46,0.292,2019-20,0
Warriors,West,15,50,0.231,2019-20,0
