TeamName,Conference,Wins,Losses,WinPct,Season,MadePlayoffs
Bulls,East,50,16,0.758,2011-12,1
Spurs,West,50,16,0.758,2011-12,1
Heat,East,46,20,0.697,2011-12,1
Thunder,West,47,19,0.712,2011-12,1
Pacers,East,42,24,0.636,2011-12,1
Lakers,West,41,25,0.621,2011-12,1
Celtics,East,39,27,0.591,2011-12,1
Grizzlies,West,41,25,0.621,2011-12,1
Clippers,West,40,26,0.606,2011-12,1
Hawks,East,40,26,0.606,2011-12,1
Nuggets,West,38,28,0.576,2011-12,1
Magic,East,37,29,0.561,2011-12,1
Knicks,East,36,30,0.545,2011-12,1
Mavericks,West,36,30,0.545,2011-12,1
76ers,East,35,31,0.53,2011-12,1
Jazz,West,36,30,0.545,2011-12,1
Rockets,West,34,32,0.515,2011-12,0
Bucks,East,31,35,0.47,2011-12,0
Suns,West,33,33,0.5,2011-12,0
Pistons,East,25,41,0.379,2011-12,0
Trail Blazers,West,28,38,0.424,2011-12,0
Raptors,East,23,43,0.348,2011-12,0
Nets,East,22,44,0.333,2011-12,0
Timberwolves,West,26,40,0.394,2011-12,0
Warriors,West,23,43,0.348,2011-12,0
Cavaliers,East,21,45,0.318,2011-12,0
Wizards,East,20,46,0.303,2011-12,0
Kings,West,22,44,0.333,2011-12,0
Hornets,West,21,45,0.318,2011-12,0
Bobcats,East,7,59,0.106,2011-12,0
