TeamName,Conference,Wins,Losses,WinPct,Season,MadePlayoffs
Heat,East,66,16,0.805,2012-13,1
Thunder,West,60,22,0.732,2012-13,1
Knicks,East,54,28,0.659,2012-13,1
Spurs,West,58,24,0.707,2012-13,1
Nuggets,West,57,25,0.695,2012-13,1
Pacers,East,49,32,0.605,2012-13,1
Clippers,West,56,26,0.683,2012-13,1
Nets,East,49,33,0.598,2012-13,1
Bulls,East,45,37,0.549,2012-13,1
Grizzlies,West,56,26,0.683,2012-13,1
Hawks,East,44,38,0.537,2012-13,1
Warriors,West,47,35,0.573,2012-13,1
Celtics,East,41,40,0.506,2012-13,1
Lakers,West,45,37,0.549,2012-13,1
Rockets,West,45,37,0.549,2012-13,1
Bucks,East,38,44,0.463,2012-13,1
76ers,East,34,48,0.415,2012-13,0
Jazz,West,43,39,0.524,2012-13,0
Mavericks,West,41,41,0.5,2012-13,0
Raptors,East,34,48,0.415,2012-13,0
Trail Blazers,West,33,49,0.402,2012-13,0
Pistons,East,29,53,0.354,2012-13,0
Timberwolves,West,31,51,0.378,2012-13,0
Wizards,East,29,53,0.354,2012-13,0
Cavaliers,East,24,58,0.293,2012-13,0
Kings,West,28,54,0.341,2012-13,0
Hornets,West,27,55,0.329,2012-13,0
Bobcats,East,21,61,0.256,2012-13,0
Magic,East,20,62,0.244,2012-13,0
Suns,West,25,57,0.305,2012-13,0
