TeamName,Conference,Wins,Losses,WinPct,Season,MadePlayoffs
76ers,East,49,23,0.681,2020-21,1
Jazz,West,52,20,0.722,2020-21,1
Nets,East,48,24,0.667,2020-21,1
Suns,West,51,21,0.708,2020-21,1
Nuggets,West,47,25,0.653,2020-21,1
Bucks,East,46,26,0.639,2020-21,1
Knicks,East,41,31,0.569,2020-21,1
Clippers,West,47,25,0.653,2020-21,1
Hawks,East,41,31,0.569,2020-21,1
Mavericks,West,42,30,0.583,2020-21,1
Trail Blazers,West,42,30,0.583,2020-21,1
Heat,East,40,32,0.556,2020-21,1
Celtics,East,36,36,0.5,2020-21,1
Lakers,West,42,30,0.583,2020-21,1
Grizzlies,West,38,34,0.528,2020-21,1
Wizards,East,34,38,0.472,2020-21,1
Warriors,West,39,33,0.542,2020-21,0
Pacers,East,34,38,0.472,2020-21,0
Spurs,West,33,39,0.458,2020-21,0
Hornets,East,33,39,0.458,2020-21,0
Pelicans,West,31,41,0.431,2020-21,0
Bulls,East,31,41,0.431,2020-21,0
Kings,West,31,41,0.431,2020-21,0
Raptors,East,27,45,0.375,2020-21,0
Timberwolves,West,23,49,0.319,2020-21,0
Cavaliers,East,22,50,0.306,2020-21,0
Magic,East,21,51,0.292,2020-21,0
Thunder,West,22,50,0.306,2020-21,0
Pistons,East,20,52,0.278,2020-21,0
Rockets,West,17,55,0.236,2020-21,0
