TeamName,Conference,Wins,Losses,WinPct,Season,MadePlayoffs
Cavaliers,East,57,25,0.695,2015-16,1
Warriors,West,73,9,0.89,2015-16,1
Spurs,West,67,15,0.817,2015-16,1
Raptors,East,56,26,0.683,2015-16,1
Thunder,West,55,27,0.671,2015-16,1
Heat,East,48,34,0.585,2015-16,1
Clippers,West,53,29,0.646,2015-16,1
Hawks,East,48,34,0.585,2015-16,1
Celtics,East,48,34,0.585,2015-16,1
Trail Blazers,West,44,38,0.537,2015-16,1
Mavericks,West,42,40,0.512,2015-16,1
Hornets,East,48,34,0.585,2015-16,1
Pacers,East,45,37,0.549,2015-16,1
Grizzlies,West,42,40,0.512,2015-16,1
Rockets,West,41,41,0.5,2015-16,1
Pistons,East,44,38,0.537,2015-16,1
Bulls,East,42,40,0.512,2015-16,0
Jazz,West,40,42,0.488,2015-16,0
Wizards,East,41,41,0.5,2015-16,0
Kings,West,33,49,0.402,2015-16,0
Nuggets,West,33,49,0.402,2015-16,0
Magic,East,35,47,0.427,2015-16,0
Bucks,East,33,49,0.402,2015-16,0
Pelicans,West,30,52,0.366,2015-16,0
Timberwolves,West,29,53,0.354,2015-16,0
Knicks,East,32,50,0.39,2015-16,0
Nets,East,21,61,0.256,2015-16,0
Suns,West,23,59,0.28,2015-16,0
Lakers,West,17,65,0.207,2015-16,0
76ers,East,10,72,0.122,2015-16,0
