TeamName,Conference,Wins,Losses,WinPct,Season,MadePlayoffs
Rockets,West,65,17,0.793,2017-18,1
Raptors,East,59,23,0.72,2017-18,1
Celtics,East,55,27,0.671,2017-18,1
Warriors,West,58,24,0.707,2017-18,1
76ers,East,52,30,0.634,2017-18,1
Trail Blazers,West,49,33,0.598,2017-18,1
Cavaliers,East,50,32,0.61,2017-18,1
Thunder,West,48,34,0.585,2017-18,1
Pacers,East,48,34,0.585,2017-18,1
Jazz,West,48,34,0.585,2017-18,1
Pelicans,West,48,34,0.585,2017-18,1
Heat,East,44,38,0.537,2017-18,1
Bucks,East,44,38,0.537,2017-18,1
Spurs,West,47,35,0.573,2017-18,1
Timberwolves,West,47,35,0.573,2017-18,1
Wizards,East,43,39,0.524,2017-18,1
Nuggets,West,46,36,0.561,2017-18,0
Pistons,East,39,43,0.476,2017-18,0
Clippers,West,42,40,0.512,2017-18,0
Hornets,East,36,46,0.439,2017-18,0
Lakers,West,35,47,0.427,2017-18,0
Knicks,East,29,53,0.354,2017-18,0
Nets,East,28,54,0.341,2017-18,0
Kings,West,27,55,0.329,2017-18,0
Bulls,East,27,55,0.329,2017-18,0
Mavericks,West,24,58,0.293,2017-18,0
Magic,East,25,57,0.305,2017-18,0
Grizzlies,West,22,60,0.268,2017-18,0
Hawks,East,24,58,0.293,2017-18,0
Suns,West,21,61,0.256,2017-18,0
